"283","CANDELARIA","21"
"284","CARACHE","21"
"285","ESCUQUE","21"
"286","JOSE FELIPE MARQUEZ CA&#209","0"
"287","JUAN VICENTE CAMPO ELIAS","21"
"288","LA CEIBA","21"
"289","MIRANDA","21"
"290","MONTE CARMELO","21"
"291","MOTATAN","21"
"292","PAMPAN","21"
"293","PAMPANITO","21"
"294","RAFAEL RANGEL","21"
"295","SAN RAFAEL DE CARVAJAL","21"
"296","SUCRE","21"
"297","TRUJILLO","21"
"298","URDANETA","21"
"299","VALERA","21"
"300","ANDRES BELLO","22"
"301","BOLIVAR","22"
"302","BRUZUAL","22"
"303","COCOROTE","22"
"304","INDEPENDENCIA","22"
"305","JOSE ANTONIO PAEZ","22"
"306","LA TRINIDAD","22"
"307","MANUEL MONGE","22"
"308","NIRGUA","22"
"309","PE&#209","0"
"310","SAN FELIPE","22"
"311","SUCRE","22"
"312","PAMPAN","22"
"313","VEROES","22"
"314","ALMIRANTE PADILLA","23"
"315","BARALT","23"
"316","CABIMAS","23"
"317","CATATUMBO","23"
"318","COLON","23"
"319","FRANCISCO JAVIER PULGAR","23"
"320","JESUS ENRIQUE LOZADA","23"
"321","JESUS MARIA SEMPRUN","23"
"322","LA CA&#209","0"
"323","LAGUNILLAS","23"
"324","MACHIQUES DE PERIJA","23"
"325","MARA","23"
"326","MARACAIBO","23"
"327","MIRANDA","23"
"328","PAEZ","23"
"329","ROSARIO DE PERIJA","23"
"330","SAN FRANCISCO","23"
"331","SANTA RITA","23"
"332","SIMON BOLIVAR","23"
"333","SUCRE","23"
"334","VALMORE RODRIGUEZ","23"
"335","VARGAS","24"
"336","DEPENDENCIAS FEDERALES","25"
"337","BARUTA","7"
"338","CARACILO PARRA Y OLMEDO","14"
"339","LEONARDO INFANTE","12"
